년,월,역사명,환승역구분,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025,7,천호(풍납토성),환승역,171,23857,59001,128162,189356,134898,105091,110521,119853,128418,125048,140827,157599,196751,245525,163023,113123,93396,40851,11435,0,0,0,37.538566,127.123539,966741.6435093395,1948871.522983556,POINT (966741.6435093395 1948871.522983556)
2025,7,철산,일반역,18,14656,49415,112436,127872,76859,54220,50015,54141,53440,51921,57615,71676,96624,138725,94566,59860,53355,25336,6527,0,0,0,37.47616,126.868217,944138.6078032029,1942068.8455542482,POINT (944138.6078032029 1942068.8455542482)
2025,7,청구,환승역,25,3567,10567,25508,56684,31649,19430,17812,18601,18833,18559,20455,25221,31331,46910,28197,17949,15717,7906,2050,3,0,0,37.560237,127.01379,957058.2753806753,1951320.2782859206,POINT (957058.2753806753 1951320.2782859206)
2025,7,청담,일반역,13,6690,42673,75547,159213,106147,47746,37629,41443,42005,43601,49414,63127,93399,131103,66940,39934,35360,9086,3023,0,0,0,37.519097,127.051851,960398.0617521269,1946739.3219420258,POINT (960398.0617521269 1946739.3219420258)
2025,7,청라국제도시,일반역,154,8196,25915,44767,40548,18959,13827,15124,15255,14682,14874,16864,22306,31550,46075,31154,20288,18833,10784,4021,0,0,0,37.556509,126.624725,922691.9375444081,1951155.5584099,POINT (922691.9375444081 1951155.5584099)
2025,7,청량리(서울시립대입구),환승역,3012,22609,54499,121821,172923,140507,143410,153487,153158,155931,161857,165530,178005,183876,207880,136562,91683,77185,30595,7735,0,0,0,37.580148,127.045063,959830.9952074286,1953515.4728166435,POINT (959830.9952074286 1953515.4728166435)
2025,7,청명역,일반역,32,4435,12053,27535,29470,13867,10540,9336,10298,11027,10356,11842,14433,19590,28597,18337,11706,10404,4897,312,0,0,0,37.259485,127.078945,962663.7836783802,1917926.5545343268,POINT (962663.7836783802 1917926.5545343268)
2025,7,청산역,일반역,0,122,503,823,878,538,571,521,547,524,530,527,660,726,600,567,320,125,136,78,3,0,0,37.995138,127.074097,962604.3016930586,1999546.1128488588,POINT (962604.3016930586 1999546.1128488588)
2025,7,청평역,일반역,8,1257,3972,6912,9368,8247,8657,9403,8851,7572,7507,7612,8111,8665,7127,6004,3858,2985,1317,282,0,0,0,37.735484,127.426541,993527.3986391546,1970654.6007693727,POINT (993527.3986391546 1970654.6007693727)
2025,7,초지역,환승역,363,4975,17458,32761,27649,14079,10148,9807,12350,10301,10160,11552,13651,20491,27021,20418,13329,11597,6390,2374,0,0,0,37.320083,126.808051,938691.7336914932,1924790.6075310856,POINT (938691.7336914932 1924790.6075310856)
