역번호,역사명,노선번호,노선명,환승역구분,역사도로명주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
1279,금릉역,I4108,경의중앙선,일반역,경기도 파주시 금릉역로85,126.765401,37.751295,935286.5165696298,1972660.2424555323
1280,금촌역,I4108,경의중앙선,일반역,경기도 파주시 새꽃로 193,126.774515,37.766106,936102.1545200474,1974297.2558054195
1282,월롱역,I4108,경의중앙선,일반역,경기도 파주시 월롱면 통일로 980,126.792574,37.796201,937717.9991937858,1977624.116502345
1283,파주역,I4108,경의중앙선,일반역,경기도 파주시 파주읍 주라위길 38,126.792426,37.815391,937721.0876540728,1979753.3558262845
1284,문산역,I4108,경의중앙선,일반역,경기도 파주시 문산읍 문산역로 94,126.787531,37.854565,937323.3899918305,1984103.0281194092
1285,임진강역,I4108,경의중앙선,일반역,경기도 파주시 문산읍 임진각로 115(문산읍),126.746777,37.888364,933768.4359197384,1987881.23805735
1286,운천역,I4108,경의중앙선,일반역,경기도 파주시 문산읍 통일로2033번길3,126.769713,37.880008,935777.9894185398,1986938.0865221112
1953,대곡역,I4108,경의중앙선,환승역,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1),126.810225,37.631629,939137.5444059108,1959353.4512147573
1801,개봉역,I1101,경인선,일반역,서울시 구로구 경인로 40길 47,126.858504,37.494698,943293.8021730052,1944131.335272816
1802,오류동역,I1101,경인선,일반역,서울시 구로구 경인로 20길 13,126.844551,37.4944,942060.1573795524,1944106.7713354824
1803,역곡역,I1101,경인선,일반역,경기도 부천시 원미구 역곡로 1(역곡동),126.811622,37.48514,939141.7783331152,1943100.2038551767
1804,부천역,I1101,경인선,일반역,경기도 부천시 소사구 부천로 1,126.782779,37.484066,936590.8802993211,1943000.0850563943
1805,송내역,I1101,경인선,일반역,경기도 부천시 소사구 송내대로 43,126.753045,37.487626,933965.2089671438,1943415.4901948737
1806,부평역,I1101,경인선,환승역,인천시 부평구 광장로 16,126.724584,37.489457,931450.7391299529,1943638.9754682176
1807,백운역,I1101,경인선,일반역,인천시 부평구 마장로 55번길 14,126.707179,37.483301,929906.3041408284,1942968.8137879225
1808,동암역,I1101,경인선,일반역,인천시 부평구 동암광장로 10,126.703016,37.470835,929526.5389952272,1941588.8806655817
1809,주안역,I1101,경인선,환승역,인천시 남구 주안로 95-19,126.680702,37.465041,927547.7925305584,1940962.9974466364
1810,제물포역,I1101,경인선,일반역,인천시 남구 경인로 129,126.657165,37.466809,925468.0836297624,1941177.5144679227
1811,동인천역,I1101,경인선,일반역,인천시 중구 참외전로 119,126.632598,37.475414,923304.3736803392,1942151.9248710463
1812,인천역,I1101,경인선,환승역,인천시 중구 제물량로 269,126.616936,37.476364,921920.5006260268,1942270.1952198448
1813,구일역,I1101,경인선,일반역,서울시 구로구 구일로 133,126.869201,37.495973,944240.3408803697,1944266.3985323643
1815,부개역,I1101,경인선,일반역,인천시 부평구 수변로 22,126.740549,37.488479,932861.2428293428,1943518.9650978995
1816,간석역,I1101,경인선,일반역,인천시 남동구 석정로 522-14,126.693408,37.464689,928671.0954612234,1940914.2465521132
1817,도원역,I1101,경인선,일반역,인천시 동구 참외전로 245,126.642824,37.468604,924201.69658456,1941388.1068519992
1821,온수역,I1101,경인선,환승역,서울시 구로구 부일로 872,126.823399,37.492267,940188.6568465424,1943883.357075719
1822,중동역,I1101,경인선,일반역,경기도 부천시 소사구 중동로 73,126.764474,37.486664,934974.7740678265,1943300.8055975
1823,도화역,I1101,경인선,일반역,인천시 남구 숙골로 24번길 9,126.66846,37.466154,926466.2776615762,1941095.96684416
4804,소사역,I1101,경인선,환승역,경기도 부천시 소사구 경인로 363,126.795654,37.482755,937728.079106611,1942846.0431141304
1203,망우역,I41K2,경춘선,환승역,서울시 중랑구 망우로 55길 11-10,127.092031,37.599988,963987.6501546882,1955697.577043973
