상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry
금박연,종로구,서울 종로구 북촌로12길 24-12,126.986186699979,37.5826275100841,954633.9385881628,1953817.3663208173,POINT (954633.9385881628 1953817.3663208173)
금복상회,금천구,서울 금천구 시흥대로146길 33,126.900607175047,37.4741050897747,947001.0799820138,1941822.1438598847,POINT (947001.0799820138 1941822.1438598847)
서울시립 북서울미술관,노원구,"서울 노원구 동일로 1238 (중계동, 서울시립 북서울미술관)",127.066865579183,37.6406604547872,961787.054162791,1960219.9607595834,POINT (961787.054162791 1960219.9607595834)
서울시립 사진미술관,도봉구,서울 도봉구 마들로13길 68 (창동) 서울시립 사진미술관,127.048947814686,37.6555150225578,960214.1900444218,1961875.4694506784,POINT (960214.1900444218 1961875.4694506784)
아라리오뮤지엄 인 스페이스,종로구,서울 종로구 율곡로 83 (원서동),126.988357552948,37.5777621971432,954822.6710217838,1953276.5365735977,POINT (954822.6710217838 1953276.5365735977)
남산서울타워 물품보관소,용산구,"서울 용산구 남산공원길 105 (용산동2가, YTN서울타워)",126.987867837993,37.5511225714939,954763.323480274,1950321.2387798957,POINT (954763.323480274 1950321.2387798957)
북촌동양문화박물관,종로구,서울 종로구 북촌로11길 76,126.983370412821,37.5839903499019,954386.1102719549,1953969.9308998338,POINT (954386.1102719549 1953969.9308998338)
대구참기름집,종로구,서울 종로구 계동길 67 (계동),126.986666915893,37.5803121918007,954674.934882992,1953560.2607705637,POINT (954674.934882992 1953560.2607705637)
대림시장 감자국거리,은평구,서울 은평구 응암로4길 26 (응암동) 대림시장 감자국거리,126.917545647532,37.5871616982388,948576.4900844214,1954355.778409357,POINT (948576.4900844214 1954355.778409357)
대성표구사,용산구,서울 용산구 이태원로 216 (한남동),126.998136551597,37.5346871460213,955660.6332314654,1948492.9259278213,POINT (955660.6332314654 1948492.9259278213)
대오서점,종로구,서울특별시 종로구 자하문로7길 55 (누하동),126.969324927835,37.5797361073093,953143.3410411107,1953504.85517966,POINT (953143.3410411107 1953504.85517966)
서울약령시 한의약박물관,동대문구,"서울 동대문구 약령중앙로 26 (제기동, 서울한방진흥센터) B2",127.037586644096,37.5806004145096,959171.1081172321,1953568.8889970265,POINT (959171.1081172321 1953568.8889970265)
서울중앙성원,용산구,서울 용산구 우사단로10길 39,126.99729799402,37.5332797663619,955585.7119858069,1948337.1807451192,POINT (955585.7119858069 1948337.1807451192)
아원공방,종로구,서울 종로구 북촌로5가길 3,126.982194537365,37.5797469490698,954279.6950092319,1953499.7169206084,POINT (954279.6950092319 1953499.7169206084)
서울하수도과학관,성동구,서울 성동구 자동차시장3길 64 (용답동) 서울하수도과학관,127.060364943935,37.5604666954517,961171.8828665656,1951325.5014081548,POINT (961171.8828665656 1951325.5014081548)
초전섬유퀼트박물관,중구,서울 중구 퇴계로18길 66 (제일빌딩),126.984229519746,37.5581281200112,954446.2129074004,1951100.2252368748,POINT (954446.2129074004 1951100.2252368748)
성우이용원,마포구,서울 마포구 효창원로97길 4-1,126.963337206543,37.5495594064023,952595.524650719,1950159.9007660695,POINT (952595.524650719 1950159.9007660695)
숭례문(남대문),중구,서울 중구 세종대로 40 (숭례문(남대문)),126.975359779271,37.5599277853801,953663.9301595364,1951304.2248175193,POINT (953663.9301595364 1951304.2248175193)
쉼박물관,종로구,서울 종로구 세검정로 209-17 (쉼박물관),126.955677955696,37.5995036888778,951951.0641541323,1955704.8760427393,POINT (951951.0641541323 1955704.8760427393)
예술의전당 서울서예박물관,서초구,"서울 서초구 남부순환로 2406 (서초동, 예술의전당)",127.014215239186,37.4802401962069,957050.001855734,1942444.91364375,POINT (957050.001855734 1942444.91364375)
아름다운 차박물관,종로구,서울 종로구 인사동길 19-11,126.985881712125,37.5723710958927,954600.7832967362,1952679.6131367728,POINT (954600.7832967362 1952679.6131367728)
유홍식 수제화 명장 1호,성동구,서울 성동구 아차산로 97 2층,127.055123744487,37.5452324827558,960700.9844001224,1949637.5273728773,POINT (960700.9844001224 1949637.5273728773)
안녕러기지 물품보관소,마포구,서울 마포구 어울마당로 149-2 (동교동),126.926574008314,37.556859001448,949353.072347943,1950988.9279617483,POINT (949353.072347943 1950988.9279617483)
힐스트링,서초구,서울 서초구 반포대로1길 8 성호빌딩 3층,127.012091123411,37.4812670423944,956862.7901881471,1942559.8064125315,POINT (956862.7901881471 1942559.8064125315)
공평도시유적전시관,종로구,서울 종로구 우정국로 26 (센트로폴리스 지하 1층),126.983530268891,37.5716808092144,954392.7166934606,1952604.167916147,POINT (954392.7166934606 1952604.167916147)
이길이구 갤러리,강남구,서울 강남구 강남대로158길 35 (신사동),127.021480246749,37.5197495682315,957714.6178054803,1946824.938590373,POINT (957714.6178054803 1946824.938590373)
국립현대미술관 서울관 갤러리아트존,종로구,서울 종로구 삼청로 30 (소격동) 국립현대미술관,126.980032718285,37.5787436166877,954088.196940715,1953389.456182052,POINT (954088.196940715 1953389.456182052)
충무로역 물품보관소,중구,서울 중구 퇴계로 198 (필동2가),126.993904601552,37.5609375137061,955302.4178787107,1951407.2679559253,POINT (955302.4178787107 1951407.2679559253)
통의동 골목,종로구,서울 종로구 통의동 35-15,126.972689079755,37.5778755699713,953439.2268850642,1953296.7646175514,POINT (953439.2268850642 1953296.7646175514)
등촌 최월선칼국수,강서구,서울 강서구 화곡로64길 68,126.856708298569,37.5560425503116,943181.6124207638,1950938.2861966472,POINT (943181.6124207638 1950938.2861966472)
옛날집낙원아구찜,종로구,서울 종로구 삼일대로 436 (낙원동),126.988000615593,37.5734999165726,954788.5767960337,1952803.8286464906,POINT (954788.5767960337 1952803.8286464906)
정동전망대,중구,"서울 중구 덕수궁길 15 (서소문동, 서울시청 서소문별관)",126.975613605737,37.5645541852439,953689.2120704096,1951817.375732526,POINT (953689.2120704096 1951817.375732526)
명가떡집,송파구,서울 송파구 석촌호수로12길 7 (잠실동),127.085614159971,37.5090211638931,963376.7284826462,1945607.7942528815,POINT (963376.7284826462 1945607.7942528815)
인천국제공항 제 1터미널 서울관광정보센터 (서편),중구,인천광역시 중구 공항로 272 (운서동) 인천국제공항 제1여객터미널 1층 입국장 10번 출구,126.427699293474,37.458350712273,905165.1873594174,1940445.4103605587,POINT (905165.1873594174 1940445.4103605587)
서울 관광기념품 전시관?여행자지원센터,종로구,서울 종로구 청계천로 85 (삼일빌딩) 앞,126.987150409394,37.5686313893591,954710.5519134823,1952264.0986996512,POINT (954710.5519134823 1952264.0986996512)
서울도서관 (옛 서울시청사),중구,서울특별시 중구 세종대로 110 (태평로1가),126.977918351844,37.566370776634,953893.875104184,1952017.784337359,POINT (953893.875104184 1952017.784337359)
초대길,강북구,서울 강북구 4.19로 114 (수유동) 근현대사기념관 (출발),127.002830628534,37.6434410661945,956139.2215288131,1960556.4701599835,POINT (956139.2215288131 1960556.4701599835)
