공원명,자치구,공원주소,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84),geometry
대모산도시자연공원,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,962951.2316528832,1942350.9580936134,127.0809639,37.4796489,POINT (962951.2316528832 1942350.9580936134)
탑골근린공원,종로구,서울특별시 종로구 종로 99,954812.2083231822,1952526.9149970398,126.9882853,37.5710052,POINT (954812.2083231822 1952526.9149970398)
갈산근린공원,양천구,서울특별시 양천구 신정동 162-56,944224.1296001474,1945624.4061513885,126.8689146,37.5082119,POINT (944224.1296001474 1945624.4061513885)
천마근린공원,송파구,서울특별시 송파구 마천동 산 1-1,969829.4825433466,1944638.4224881951,127.1586644,37.5005173,POINT (969829.4825433466 1944638.4224881951)
도곡근린공원,강남구,서울특별시 강남구 도곡동 산31-1,959780.1986159888,1943548.77839125,127.0450338,37.4903127,POINT (959780.1986159888 1943548.77839125)
도산근린공원,강남구,서울특별시 강남구 도산대로45길 20(도산공원),958914.6423523366,1947365.4038388745,127.0350296,37.5246752,POINT (958914.6423523366 1947365.4038388745)
청량공원,성북구,서울특별시 성북구 화랑로18가길 50,960376.9096137583,1955937.888047953,127.0511145,37.6020055,POINT (960376.9096137583 1955937.888047953)
초안산근린공원,도봉구,서울특별시 도봉구 창동 산157,959910.1322369897,1961078.2129973874,127.0455446,37.648316,POINT (959910.1322369897 1961078.2129973874)
동명근린공원,강동구,서울특별시 강동구 고덕2동 229,970648.7656988362,1951216.3986227065,127.1676703,37.5598341,POINT (970648.7656988362 1951216.3986227065)
마로니에공원,종로구,서울특별시 종로구 대학로8길 1,956098.3698855633,1953543.4304385516,127.0027886,37.5802295,POINT (956098.3698855633 1953543.4304385516)
자매근린공원,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324,949654.9412592984,1946646.0960256336,126.9302895,37.5177329,POINT (949654.9412592984 1946646.0960256336)
장지근린공원,송파구,서울특별시 송파구 장지동 산 11번지,968062.7832246653,1944111.4838180616,127.1387,37.4957083,POINT (968062.7832246653 1944111.4838180616)
명일근린공원,강동구,서울특별시 강동구 상일동 135,970089.3567694686,1950539.430221395,127.1613641,37.5537143,POINT (970089.3567694686 1950539.430221395)
방화근린공원,강서구,서울특별시 강서구 금낭화로 176(방화공원),939362.269599408,1953843.2472794617,126.8132285,37.5819812,POINT (939362.269599408 1953843.2472794617)
아시아근린공원,송파구,서울특별시 송파구 올림픽로 44 (잠실동),962553.1539607643,1945750.8915542087,127.0762885,37.5102779,POINT (962553.1539607643 1945750.8915542087)
배봉산근린공원,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,961517.949025693,1953627.7865149826,127.0641623,37.5812324,POINT (961517.949025693 1953627.7865149826)
안산도시자연공원,서대문구,서울특별시 서대문구 홍제동 산33-98,950468.2089318032,1953530.215929736,126.9390273,37.5798246,POINT (950468.2089318032 1953530.215929736)
염창근린공원,강서구,서울특별시 강서구 염창동 산24-1,944267.1011426271,1951144.8018087177,126.8689817,37.5579702,POINT (944267.1011426271 1951144.8018087177)
백련근린공원,서대문구,서울특별시 서대문구 통일로 507-22(백련공원) ,949554.4166001664,1954439.0312878063,126.928616,37.5879662,POINT (949554.4166001664 1954439.0312878063)
오금근린공원,송파구,서울특별시 송파구 오금로 363 오금근린공원 ,967509.0481275542,1945019.2933592729,127.1323957,37.5038715,POINT (967509.0481275542 1945019.2933592729)
오동근린공원,강북구,서울특별시 강북구 번동 산20-1,958682.5996930578,1959362.2894828117,127.0317269,37.6327957,POINT (958682.5996930578 1959362.2894828117)
봉산도시자연공원,은평구,서울특별시 은평구 구산동 산61,947217.2855984588,1956240.4137110705,126.9020153,37.604071,POINT (947217.2855984588 1956240.4137110705)
온수도시자연공원,구로구,서울특별시 구로구 개봉동 산2-60,941392.8224832419,1944761.5901259475,126.83695,37.5002598,POINT (941392.8224832419 1944761.5901259475)
봉은공원,강남구,서울특별시 강남구 삼성동 75,960717.4501223704,1946161.5071436341,127.0554961,37.5139026,POINT (960717.4501223704 1946161.5071436341)
올림픽공원,송파구,서울특별시 송파구 올림픽로 424 (방이동),966682.5615191177,1946915.5667050648,127.122959,37.520934,POINT (966682.5615191177 1946915.5667050648)
와룡근린공원,종로구,서울특별시 종로구 와룡공원길 192 (우) 03063,954990.3088102235,1954721.5304157622,126.9901672,37.5907944,POINT (954990.3088102235 1954721.5304157622)
봉화산근린공원,중랑구,서울특별시 중랑구 묵동 산46-1,964022.0435269267,1956879.2842095818,127.0923625,37.6106404,POINT (964022.0435269267 1956879.2842095818)
