기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(시간),전국 평균체류시간(시간),연도,월,분기
202509,금천구,2286189.0,2.96,17.13,17.3,2025,09,Q3
202510,금천구,2334348.0,2.93,18.62,16.67,2025,10,Q4
202511,금천구,2422234.0,2.93,15.8,14.57,2025,11,Q4
202512,금천구,2306090.0,2.91,17.78,16.33,2025,12,Q4
202501,노원구,4191917.0,2.99,16.92,17.83,2025,01,Q1
202502,노원구,3895645.0,3.18,16.78,16.9,2025,02,Q1
202503,노원구,4994657.0,3.22,21.67,21.33,2025,03,Q1
202504,노원구,4283365.0,3.05,13.77,14.27,2025,04,Q2
202505,노원구,4933490.0,3.25,21.68,19.63,2025,05,Q2
202506,노원구,4518629.0,3.1,15.13,15.13,2025,06,Q2
202507,노원구,4595538.0,3.12,16.95,17.5,2025,07,Q3
202508,노원구,4634633.0,3.04,16.33,16.43,2025,08,Q3
202509,노원구,4972118.0,3.22,17.72,17.3,2025,09,Q3
202510,노원구,4869855.0,3.04,15.72,16.67,2025,10,Q4
202511,노원구,4895155.0,3.07,13.87,14.57,2025,11,Q4
202512,노원구,4684645.0,3.07,16.28,16.33,2025,12,Q4
202501,도봉구,2402157.0,2.91,18.25,17.83,2025,01,Q1
202502,도봉구,2124439.0,3.06,16.52,16.9,2025,02,Q1
202503,도봉구,2751165.0,3.11,19.62,21.33,2025,03,Q1
202504,도봉구,2370286.0,2.99,14.75,14.27,2025,04,Q2
202505,도봉구,2820585.0,3.17,21.83,19.63,2025,05,Q2
202506,도봉구,2587590.0,3.03,15.95,15.13,2025,06,Q2
202507,도봉구,2596119.0,3.09,18.12,17.5,2025,07,Q3
202508,도봉구,2577340.0,3.03,16.9,16.43,2025,08,Q3
202509,도봉구,2691145.0,3.11,16.48,17.3,2025,09,Q3
202510,도봉구,2714347.0,3.0,17.47,16.67,2025,10,Q4
202511,도봉구,2638919.0,3.02,14.85,14.57,2025,11,Q4
202512,도봉구,2550695.0,3.05,17.57,16.33,2025,12,Q4
202501,동대문구,4008798.0,2.93,15.45,17.83,2025,01,Q1
202502,동대문구,3961471.0,3.16,17.4,16.9,2025,02,Q1
202503,동대문구,5139787.0,3.27,24.63,21.33,2025,03,Q1
202504,동대문구,4162129.0,2.96,13.18,14.27,2025,04,Q2
202505,동대문구,4741741.0,3.11,18.78,19.63,2025,05,Q2
202506,동대문구,4377507.0,3.02,14.72,15.13,2025,06,Q2
202507,동대문구,4340869.0,3.1,17.33,17.5,2025,07,Q3
202508,동대문구,4290722.0,3.05,17.37,16.43,2025,08,Q3
202509,동대문구,4864175.0,3.17,19.43,17.3,2025,09,Q3
202510,동대문구,4480985.0,3.01,15.75,16.67,2025,10,Q4
202511,동대문구,4659817.0,3.02,14.23,14.57,2025,11,Q4
202512,동대문구,4496841.0,3.05,17.15,16.33,2025,12,Q4
202501,동작구,4436930.0,3.0,16.03,17.83,2025,01,Q1
202502,동작구,4277054.0,3.11,15.42,16.9,2025,02,Q1
202503,동작구,5453784.0,3.23,21.65,21.33,2025,03,Q1
202504,동작구,4744848.0,2.98,12.23,14.27,2025,04,Q2
202505,동작구,5490942.0,3.21,18.2,19.63,2025,05,Q2
202506,동작구,5146331.0,3.05,12.93,15.13,2025,06,Q2
202507,동작구,4959042.0,3.15,16.13,17.5,2025,07,Q3
202508,동작구,4896214.0,3.08,15.4,16.43,2025,08,Q3
202509,동작구,5911729.0,3.17,15.67,17.3,2025,09,Q3
202510,동작구,5522070.0,3.07,14.52,16.67,2025,10,Q4
202511,동작구,5816880.0,3.01,12.05,14.57,2025,11,Q4
202512,동작구,5821926.0,2.98,12.83,16.33,2025,12,Q4
202501,마포구,8423363.0,2.63,9.98,17.83,2025,01,Q1
202502,마포구,8440690.0,2.69,9.68,16.9,2025,02,Q1
202503,마포구,9962052.0,2.78,11.78,21.33,2025,03,Q1
202504,마포구,9042113.0,2.64,7.72,14.27,2025,04,Q2
202505,마포구,10358746.0,2.77,11.08,19.63,2025,05,Q2
202506,마포구,9565347.0,2.69,8.87,15.13,2025,06,Q2
202507,마포구,9840906.0,2.72,10.1,17.5,2025,07,Q3
202508,마포구,9791158.0,2.66,9.37,16.43,2025,08,Q3
202509,마포구,10315749.0,2.75,9.6,17.3,2025,09,Q3
202510,마포구,9915875.0,2.7,8.88,16.67,2025,10,Q4
202511,마포구,10372501.0,2.69,8.2,14.57,2025,11,Q4
202512,마포구,10059472.0,2.62,8.83,16.33,2025,12,Q4
202501,서대문구,6090539.0,2.8,12.28,17.83,2025,01,Q1
202502,서대문구,6211016.0,2.9,12.02,16.9,2025,02,Q1
202503,서대문구,7584716.0,3.09,18.05,21.33,2025,03,Q1
202504,서대문구,6401506.0,2.84,10.08,14.27,2025,04,Q2
202505,서대문구,7239742.0,2.95,13.8,19.63,2025,05,Q2
202506,서대문구,6894501.0,2.88,10.83,15.13,2025,06,Q2
202507,서대문구,7146686.0,2.93,12.33,17.5,2025,07,Q3
202508,서대문구,6795083.0,2.89,12.27,16.43,2025,08,Q3
202509,서대문구,7727522.0,3.01,14.15,17.3,2025,09,Q3
202510,서대문구,6691363.0,2.92,11.77,16.67,2025,10,Q4
202511,서대문구,7446396.0,2.89,10.75,14.57,2025,11,Q4
202512,서대문구,7442911.0,2.86,11.22,16.33,2025,12,Q4
202501,서초구,13446844.0,2.82,7.52,17.83,2025,01,Q1
202502,서초구,13614477.0,2.9,7.25,16.9,2025,02,Q1
202503,서초구,15118030.0,2.92,8.07,21.33,2025,03,Q1
202504,서초구,14630475.0,2.85,6.17,14.27,2025,04,Q2
202505,서초구,15772964.0,3.03,8.68,19.63,2025,05,Q2
202506,서초구,15217341.0,2.91,6.78,15.13,2025,06,Q2
202507,서초구,16123328.0,3.01,7.93,17.5,2025,07,Q3
202508,서초구,15371579.0,2.92,7.37,16.43,2025,08,Q3
202509,서초구,16085401.0,2.93,6.93,17.3,2025,09,Q3
202510,서초구,14932193.0,2.91,6.9,16.67,2025,10,Q4
202511,서초구,16779263.0,2.89,6.57,14.57,2025,11,Q4
202512,서초구,16717235.0,2.87,6.83,16.33,2025,12,Q4
202501,성동구,4805074.0,2.86,12.62,17.83,2025,01,Q1
202502,성동구,5040956.0,2.97,12.03,16.9,2025,02,Q1
202503,성동구,6285728.0,3.03,15.1,21.33,2025,03,Q1
202504,성동구,5713889.0,2.83,9.4,14.27,2025,04,Q2
