분류,자치구,공연/행사명,날짜,장소,기관명,시작일,종료일,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
연극,종로구,[서울돈화문국악당] 어린이 환경극 [북극곰 이야기],2025-12-05~2025-12-06,서울돈화문국악당,서울돈화문국악당,2025.12.5 0:00,2025.12.6 0:00,126.9907307,37.57725028,955031.9102333072,1953218.603279224
클래식,서초구,[서초문화재단] 서리풀 고음악 시리즈 [바로크 노엘],2025-12-05~2025-12-05,심산기념문화센터 2층 반포심산아트홀,서초문화재단,2025.12.5 0:00,2025.12.5 0:00,126.9912425,37.49883446,955030.0334355916,1944518.5547814665
교육/체험,동대문구,[서울시립 사진미술관] 어린이 감상 교육 [사진이 들려주는 이야기],2025-12-05~2025-12-05,서울시립 사진미술관 4층 2교육실,서울시립미술관,2025.12.5 0:00,2025.12.5 0:00,127.0489478,37.65551502,960214.1887476476,1961875.4691731287
기타,중구,[서울시립미술관 서소문본관] 2025 SeMA-하나 평론상 시상식 & 한국 현대미술비평 집담회 개최,2025-12-05~2025-12-05,서울시립미술관 서소문본관 B1 세마홀,서울시립미술관,2025.12.5 0:00,2025.12.5 0:00,126.9736993,37.56410607,953519.8719542116,1951768.6046231077
클래식,종로구,[세종문화회관] 12월 누구나 클래식 [황수경의 해설 클래식 송년 콘서트],2025-12-05~2025-12-05,세종대극장,세종문화회관,2025.12.5 0:00,2025.12.5 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
교육/체험,송파구,[한성백제박물관] 2025년 한성백제박물관 북토크,2025-12-05~2025-12-05,한성백제박물관 교육실,한성백제박물관,2025.12.5 0:00,2025.12.5 0:00,127.1208894,37.51543881,966497.222712819,1946306.6454456863
교육/체험,구로구,[서울아트책보고] 에디토리얼 씽킹: 모든 것이 있는 시대의 창조적 사고법,2025-12-05~2025-12-05,서울아트책보고 열린무대,서울아트책보고,2025.12.5 0:00,2025.12.5 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
교육/체험,중구,[서울 문화의 밤] 12월 방구석 북토크 - 읽지 않는 아이는 어떻게 읽지 못하는 어른이 되는가(김지원),2025-12-05~2025-12-05,서울도서관 1층 생각마루,서울도서관,2025.12.5 0:00,2025.12.5 0:00,126.9778292,37.56631742,953885.9689686766,1952011.9084252336
전시/미술,노원구,"[서울시립 북서울미술관] 《미완의 식물지-이소요》, 《꽃 시계-안나 리들러》",2025-12-04~2026-03-22,"서울시립 북서울미술관 1층, 2층 전시실 2, 4",서울시립북서울미술관,2025.12.4 0:00,2026.3.22 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
전시/미술,노원구,[서울시립 북서울미술관] 일렉트릭 쇼크,2025-12-04~2026-03-22,"서울시립 북서울미술관 1, 2층 전시실 1, 3",서울시립북서울미술관,2025.12.4 0:00,2026.3.22 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
뮤지컬/오페라,동작구,뮤지컬 [여명의 눈동자],2025-12-04~2026-01-31,Converse Stage Arena ,기타,2025.12.4 0:00,2026.1.31 0:00,126.9784084,37.49982365,953896.2049578032,1944634.508850237
교육/체험,중랑구,[중랑문화재단] 창의융합 유아동 예술프로그램 [말랑말랑 중랑] 12월,2025-12-04~2025-12-27,중랑아트센터 프로그램실,중랑문화재단,2025.12.4 0:00,2025.12.27 0:00,127.0916241,37.59833282,963950.9334213329,1955514.0988323304
클래식,서초구,[서울시립교향악단] 국립오페라단 x 서울시립교향악단 오페라 [트리스탄과 이졸데],2025-12-04~2025-12-07,예술의전당 오페라극장,서울시립교향악단,2025.12.4 0:00,2025.12.7 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
교육/체험,종로구,[서울공예박물관] 어린이박물관 공예창작활동 개발을 위한 싹뚝 워크숍,2025-12-04~2025-12-04,전시3동 1층 교육실,서울공예박물관,2025.12.4 0:00,2025.12.4 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
콘서트,강남구,[강남문화재단] 제1008회 목요예술무대 시리즈 파장 [윤상&김현철&동물원의 겨울을 노래하다],2025-12-04~2025-12-04,CG아트홀(서울특별시 강남구 언주로 711 건설회관 2층),강남문화재단,2025.12.4 0:00,2025.12.4 0:00,127.03343,37.51707775,958769.1184065576,1946523.21227229
연극,노원구,[노원문화재단] 2025 노원문화재단 연극교실 작품발표회 [버지니아 그레이의 초상],2025-12-04~2025-12-04,노원어린이극장 B1,노원문화재단,2025.12.4 0:00,2025.12.4 0:00,127.0636923,37.65445005,961514.2088291164,1961751.161859373
클래식,양천구,"[세종문화회관] 25세종시즌 [헨델, 메시아]",2025-12-04~2025-12-04,롯데콘서트홀,세종문화회관,2025.12.4 0:00,2025.12.4 0:00,127.1044469,37.51375196,965043.3727478888,1946125.4822905725
교육/체험,종로구,"[서울시립 미술아카이브] 밤마중 미술관, 첫 번째 시간",2025-12-04~2025-12-04,서울시립 미술아카이브 모음동 1층 라운지 1,서울시립미술관,2025.12.4 0:00,2025.12.4 0:00,126.9719018,37.60780084,953388.3794929348,1956617.23236168
국악,서초구,최혜림의 아쟁 독주회 [흩은가락],2025-12-04~2025-12-04,국립국악원 풍류사랑방,국립국악원,2025.12.4 0:00,2025.12.4 0:00,127.0098185,37.47771881,956659.8114596568,1942167.1973499504
국악,동대문구,"이슬기 [시간, 보이지 않는] - 수림뉴웨이브2025",2025-12-04~2025-12-04,수림문화재단 김희수SPACE1,기타,2025.12.4 0:00,2025.12.4 0:00,127.0428195,37.59070597,959638.6036251442,1954687.7901746745
클래식,강남구,[강남문화재단] 제179회 강남마티네콘서트│피아니스트 김정원과 함께하는 아침의 음악정원,2025-12-04~2025-12-04,광림아트센터 장천홀,강남문화재단,2025.12.4 0:00,2025.12.4 0:00,127.0265428,37.52426211,958164.503157248,1947323.3146801216
콘서트,도봉구,[도봉문화재단] 2025년 12월 [도봉예술인극장],2025-12-04~2025-12-04,쌍문동어르신복지관,도봉문화재단,2025.12.4 0:00,2025.12.4 0:00,127.0238027,37.64825635,957992.1218144296,1961081.109770197
전시/미술,종로구,"[국립민속박물관] 출산, 모두의 잔치",2025-12-03~2026-05-10,국립민속박물관 기획전시실 1,기타,2025.12.3 0:00,2026.5.10 0:00,126.9790131,37.58167717,953999.971487888,1953715.419024368
전시/미술,종로구,"[국립고궁박물관] RE:BORN, 시간을 잇는 보존과학",2025-12-03~2026-02-01,2층 기획전시실 Ⅰ?Ⅱ,기타,2025.12.3 0:00,2026.2.1 0:00,126.9749748,37.57659162,953640.258020376,1953153.186059718
축제-자연/경관,강서구,"[서울의공원] 해치의 겨울정원여행, 함께 떠나요!",2025-12-03~2026-01-31,"서울식물원, 월드컵공원, 북서울꿈의숲정원문화힐링센터 등",서울의공원,2025.12.3 0:00,2026.1.31 0:00,126.8350072,37.56965709,941275.5407502056,1952462.1011008124
전시/미술,광진구,[세종뮤지엄갤러리] 하늘 아래 Under the Heavens - 정현영 기획초대전,2025-12-03~2025-12-14,세종뮤지엄갤러리 2관,기타,2025.12.3 0:00,2025.12.14 0:00,127.0745756,37.55079808,962422.1046861964,1950247.0460131797
축제-자연/경관,강서구,[서울식물원] 겨울행사 [안아주는 식물원],2025-12-03~2025-12-14,서울식물원,서울식물원,2025.12.3 0:00,2025.12.14 0:00,126.8350072,37.56965709,941275.5407502056,1952462.1011008124
전시/미술,광진구,[세종뮤지엄갤러리] 서천 꽃밭 - 서혜경 기획초대전 ,2025-12-03~2025-12-14,세종뮤지엄갤러리1관,기타,2025.12.3 0:00,2025.12.14 0:00,127.0745756,37.55079808,962422.1046861964,1950247.0460131797
전시/미술,종로구,[달빛을 찍다] 유병임 도자개인전,2025-12-03~2025-12-08,갤러리 안터 (서울시 종로구 인사동 11길 16 1층),기타,2025.12.3 0:00,2025.12.8 0:00,126.9838894,37.5739511,954425.8138091364,1952855.871480159
연극,성북구,[미아리고개예술극장] 미아리고개예술극장 10주년 공동기획공연 릴레이 쇼케이스4. [메타모르포세스],2025-12-03~2025-12-07,미아리고개예술극장,성북문화재단,2025.12.3 0:00,2025.12.7 0:00,127.0214592,37.59789909,957756.901496739,1955495.227512784
국악,용산구,쿠푸쿠푸KUPUKUPU2: 송지섭 작곡발표회,2025-12-03~2025-12-03,일신홀,기타,2025.12.3 0:00,2025.12.3 0:00,127.0055166,37.53716704,956314.1075046592,1948764.602244911
클래식,은평구,[은평문화재단] 2025 꿈의 오케스트라 은평 정기연주회 [꿈의 선율],2025-12-03~2025-12-03,은평문화예술회관 공연장,은평문화재단,2025.12.3 0:00,2025.12.3 0:00,126.9279017,37.60369969,949501.9867598976,1956184.9809773865
연극,구로구,[서울아트책보고] 그림책 몸짓 공연: 책속으로 들어간 인형,2025-12-03~2025-12-03,서울아트책보고 열린무대,서울아트책보고,2025.12.3 0:00,2025.12.3 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
연극,종로구,[서울문화재단] 스토리 살롱 : 빚어진 이야기들,2025-12-03~2025-12-03,서울연극센터(종로구 대명길 3),서울문화재단,2025.12.3 0:00,2025.12.3 0:00,127.0013221,37.58338956,955970.7444795537,1953894.7104774255
클래식,강남구,케이피아에듀 창단 연주 프로젝트,2025-12-03~2025-12-03,거암아트홀,기타,2025.12.3 0:00,2025.12.3 0:00,127.019106,37.51951013,957504.675534163,1946799.4442020357
축제-기타,동작구,제1회 리틀아르떼페스타,2025-12-03~2025-12-03,서울시여성가족재단 아트홀봄,기타,2025.12.3 0:00,2025.12.3 0:00,126.9273881,37.51239909,949394.9420715946,1946055.8964627776
연극,종로구,[종로문화재단] 꿈의 극단 종로 제1회 정기 발표회 [휘이잇],2025-12-03~2025-12-03,아이들극장,종로문화재단,2025.12.3 0:00,2025.12.3 0:00,126.9983016,37.59029702,955708.1500141816,1954662.481253094
클래식,서초구,[서초문화재단] 서리풀 오후의 실내악 [러시아의 향수],2025-12-03~2025-12-03,심산기념문화센터 2층 반포심산아트홀,서초문화재단,2025.12.3 0:00,2025.12.3 0:00,126.9912425,37.49883446,955030.0334355916,1944518.5547814665
교육/체험,서초구,[서울문화예술교육센터 서초] 음악의 집 연계 프로그램,2025-12-02~2025-12-31,서울문화예술교육센터 서초,서울문화재단,2025.12.2 0:00,2025.12.31 0:00,126.9983081,37.50471771,955658.0578492052,1945167.912287829
전시/미술,중랑구,[중랑문화재단] 12월 한평갤러리 이달의 작가 황정민 [Space-Time],2025-12-02~2025-12-31, 중랑아트센터 한평갤러리,중랑문화재단,2025.12.2 0:00,2025.12.31 0:00,127.0916241,37.59833282,963950.9334213329,1955514.0988323304
교육/체험,중랑구,[중랑문화재단] 2025 중랑아트센터 [나대기 예술아카데미] 12월 프로그램,2025-12-02~2025-12-31,중랑아트센터 프로그램실,중랑문화재단,2025.12.2 0:00,2025.12.31 0:00,127.0916241,37.59833282,963950.9334213329,1955514.0988323304
전시/미술,영등포구,[영등포문화재단] 2025 술술센터 예술X기술 전시 [경계에서 마주하는 세계] 김재익,2025-12-02~2025-12-28,술술센터 지하1층 술술갤러리,영등포문화재단,2025.12.2 0:00,2025.12.28 0:00,126.8941454,37.51301035,946457.499403216,1946142.1109481624
전시/미술,성북구,제25회 국민대학교 회화전공 졸업전시 [완전히 삼켜지지 않아도 Not Swallowed Whole],2025-12-02~2025-12-20,"국민대학교 예술대학 1층 로비?110호, 2층 K-Art Gallery",기타,2025.12.2 0:00,2025.12.20 0:00,126.9978311,37.61019089,955678.41550313,1956869.8411733944
교육/체험,강남구,2026 SW 산업전망 컨퍼런스,2025-12-02~2025-12-02,코엑스 그랜드 컨퍼런스룸 401호,기타,2025.12.2 0:00,2025.12.2 0:00,127.059159,37.51182391,961040.076085128,1945929.366482106
클래식,서초구,[서초문화재단] 제15회 서초구립 여성합창단 정기연주회 [Jazz Christmas],2025-12-02~2025-12-02,심산기념문화센터 2층 반포심산아트홀,서초문화재단,2025.12.2 0:00,2025.12.2 0:00,126.9912425,37.49883446,955030.0334355916,1944518.5547814665
클래식,강남구,[강남문화재단] 강남합창단 제47회 정기연주회 [Lux et Gloria],2025-12-02~2025-12-02,광림아트센터 장천홀,강남문화재단,2025.12.2 0:00,2025.12.2 0:00,127.0265428,37.52426211,958164.503157248,1947323.3146801216
교육/체험,종로구,[대우재단 시민강좌] 공룡에겐 없던 계획: 태양계 소행성과 인류의 생존 전략,2025-12-02~2025-12-02,"대우재단빌딩 5층, 대우학술라운지",기타,2025.12.2 0:00,2025.12.2 0:00,126.9732297,37.57921394,953487.7957651394,1953444.9827363093
뮤지컬/오페라,중구,[중구문화재단] 뮤지컬 [한복 입은 남자],2025-12-02~2025-03-08, 충무아트센터 대극장,중구문화재단,2025.12.2 0:00,2025.3.8 0:00,127.0147909,37.56594097,957149.9418754115,1951952.6476190093
교육/체험,종로구,2026 Doam Winter Kids Art Camp [미술사 속 겨울여행],2025-12-01~2026-01-24,서울아트센터 도암 3층 도암갤러리 내 아카데미룸,기타,2025.12.1 0:00,2026.1.24 0:00,126.9679065,37.60570799,953034.4231392008,1956387.0303320768
교육/체험,마포구,[마포구립서강도서관] 12월 문화프로그램,2025-12-01~2025-12-31,마포구립서강도서관,마포구청,2025.12.1 0:00,2025.12.31 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
전시/미술,관악구,"[관악문화재단] 2025 관악 예술창작 지원사업 성과공유전 [찾았다, 관희씨!]",2025-12-01~2025-12-31,관천로 문화플랫폼 S1472,관악문화재단,2025.12.1 0:00,2025.12.31 0:00,126.9257749,37.4841128,949233.2266522256,1942918.5693085664
기타,마포구,[마포구립서강도서관] 12월/팟캐스트 서강도서관 피셜 62회 [단 한 번의 삶],2025-12-01~2025-12-31,온라인 팟빵,마포구청,2025.12.1 0:00,2025.12.31 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
교육/체험,송파구,[송파 청년아티스트센터] 예술가와 함께하는 풍납 탐구 생활 12월 프로그램,2025-12-01~2025-12-31,송파 청년아티스트센터 1층,송파구청,2025.12.1 0:00,2025.12.31 0:00,127.1159547,37.53406864,966069.57009739,1948375.2774486344
전시/미술,마포구,[마포구립서강도서관] 12월/어린이 갤러리 [나와 티라노와 크리스마스],2025-12-01~2025-12-31,마포구립서강도서관 4층 어린이자료실,마포구청,2025.12.1 0:00,2025.12.31 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
교육/체험,광진구,[세종대학교 미래교육원] 2025 관현악 무료레슨 Day,2025-12-01~2025-12-31,세종대학교 새날관 내 연습실,기타,2025.12.1 0:00,2025.12.31 0:00,127.0731836,37.55160931,962299.5568474886,1950337.604780145
영화,중구,[청춘극장] 2025년 12월 영화 및 공연 프로그램,2025-12-01~2025-12-31,청춘극장 문화일보홀,서울시청,2025.12.1 0:00,2025.12.31 0:00,126.9686898,37.56710886,953079.3393149514,1952104.238912073
축제-문화/예술,관악구,[관악문화재단] 2025 관악별빛산책 [WHITE MAGIC],2025-12-01~2025-12-31,별빛내린천 일대 (봉림교부터 신림교까지 약 200m) ,관악문화재단,2025.12.1 0:00,2025.12.31 0:00,126.9257608,37.4844422,949232.202968296,1942955.1218012867
전시/미술,은평구,[구립증산정보도서관] 책 따라 걷는 도서관 - 12월 온라인 원화 전시 [눈아이],2025-12-01~2025-12-28,온라인(도서관 홈페이지),은평구청,2025.12.1 0:00,2025.12.28 0:00,126.9076713,37.58280944,947701.6546022428,1953878.3655357205
전시/미술,중구,DDP 영 디자이너 페스티벌 대학생 졸업전,2025-12-01~2025-12-07,DDP 이간수문 전시장,동대문디자인플라자(DDP),2025.12.1 0:00,2025.12.7 0:00,127.0097797,37.56735732,956708.2068994156,1952112.0812737872
기타,중구,"[서울시립미술관 서소문본관] 오민 [동시, 퍼포먼스] 2025",2025-12-01~2025-12-02,서울시립미술관 서소문본관 1층 전시실,서울시립미술관,2025.12.1 0:00,2025.12.2 0:00,126.9736993,37.56410607,953519.8719542116,1951768.6046231077
콘서트,성북구,[송파문화재단] 2025 송파 송년음악회,2025-12-01~2025-12-01,롯데콘서트홀(송파구 올림픽로 300 롯데월드몰 8층),송파문화재단,2025.12.1 0:00,2025.12.1 0:00,127.1044469,37.51375196,965043.3727478888,1946125.4822905725
클래식,서대문구,제4회 앙상블 유포리아 정기연주회 ,2025-12-01~2025-12-01,금호아트홀 연세 ,기타,2025.12.1 0:00,2025.12.1 0:00,126.9439162,37.56605084,950890.8400546394,1951999.51462261
교육/체험,노원구,"[서울시립과학관] 과학북토크: 달작한 사이언스 (11월) [아무튼, 실험실]",2025-11-30~2025-11-30,서울시립과학관 사이언스홀,서울시립과학관,2025.11.30 0:00,2025.11.30 0:00,127.0774371,37.64199411,962720.3891783686,1960363.6711775344
콘서트,은평구,[은평문화재단] 2025 은평생활문화센터 협력뮤지션 단독공연 [INDIE STAGE] 베이루트택시,2025-11-30~2025-11-30,은평생활문화센터 공연장(인디스테이션),은평문화재단,2025.11.30 0:00,2025.11.30 0:00,126.9181201,37.61921987,948649.2490698852,1957912.1919685763
국악,중구,[국립정동극장] 창작가무극 [청사초롱 불 밝혀라],2025-11-29~2025-12-20,국립정동극장,기타,2025.11.29 0:00,2025.12.20 0:00,126.9728444,37.56593364,953445.5084643709,1951971.7876932763
교육/체험,종로구,[서울우리소리박물관] 2025 하반기 가족행복교육프로그램 [아리랑을 담은 소리 상자],2025-11-29~2025-12-17,서울우리소리박물관 B2층 교육실,서울우리소리박물관,2025.11.29 0:00,2025.12.17 0:00,126.989622,37.57715793,954933.956542594,1953208.8887282645
전시/미술,마포구,[틸라 그라운드] Spectral Plateaus,2025-11-29~2025-12-14,틸라 그라운드,기타,2025.11.29 0:00,2025.12.14 0:00,126.9244557,37.54539553,949158.1879670433,1949718.255980171
클래식,서초구,MUSICSCAPE - 그림자의 경계에서 ,2025-11-29~2025-11-30,예술의전당 자유소극장,기타,2025.11.29 0:00,2025.11.30 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
축제-기타,노원구,[서울시립과학관] 2025년 별빛축제 (부제: 별이 빛나는 밤),2025-11-29~2025-11-30,서울시립과학관,서울공예박물관,2025.11.29 0:00,2025.11.30 0:00,127.0774371,37.64199411,962720.3891783686,1960363.6711775344
교육/체험,종로구,[서울공예박물관] 조한 건축가와 달리는 [SeMoCA 러닝 브런치],2025-11-29~2025-11-30,서울공예박물관 전시3동 1층 교육실,서울공예박물관,2025.11.29 0:00,2025.11.30 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
클래식,강북구,[강북문화재단] 미디어 파사드와 함께하는 명화 클래식 [공간갤러리 콘서트],2025-11-29~2025-11-29,강북문화예술회관 강북소나무홀,강북문화재단,2025.11.29 0:00,2025.11.29 0:00,127.0138781,37.64098979,957112.4373183844,1960279.4021708544
국악,영등포구,KBS국악관현악단 2025 감사음악회 [Next Stage],2025-11-29~2025-11-29,여의도 KBS홀,기타,2025.11.29 0:00,2025.11.29 0:00,126.9167168,37.52596989,948461.1836552386,1947567.295138186
클래식,마포구,[마포문화재단] 마포구립소년소녀합창단 제18회 정기연주회 [Father Mother I Love You],2025-11-29~2025-11-29,마포아트센터 아트홀맥,마포문화재단,2025.11.29 0:00,2025.11.29 0:00,126.9455338,37.54990609,951023.1291955884,1950207.4899084808
교육/체험,구로구,[힙독클럽 X 서울아트책보고] 웹툰 『술꾼도시처녀들』 저자 미깡의 [술꾼도시여자의 주류생활 출간기념 북토크],2025-11-29~2025-11-29,서울아트책보고 열린무대,서울아트책보고,2025.11.29 0:00,2025.11.29 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
콘서트,은평구,하우스 뮤직과 댄스의 정기 쇼케이스 [All That House Vol.3],2025-11-29~2025-11-29,연서로 268 b1 스페이스 잼,기타,2025.11.29 0:00,2025.11.29 0:00,126.9245493,37.62023821,949217.321929311,1958021.675091831
교육/체험,금천구,금천문화재단X서울시립 서서울미술관 협력 프로그램 [색이 보이는 공기],2025-11-29~2025-11-29,금천구 금천정원지원센터,금천문화재단,2025.11.29 0:00,2025.11.29 0:00,126.9097874,37.44628677,947793.4754225818,1938730.756698188
교육/체험,중구,[남산골한옥마을] 남산골 관례 [나의 스무살에게],2025-11-29~2025-11-29,남산골한옥마을 관훈동 민씨 가옥,남산골한옥마을,2025.11.29 0:00,2025.11.29 0:00,126.9944401,37.55930493,955348.7383307692,1951225.886590629
클래식,서초구,[강남문화재단] 강남심포니오케스트라 제112회 정기연주회,2025-11-29~2025-11-29,예술의 전당 콘서트홀,강남문화재단,2025.11.29 0:00,2025.11.29 0:00,127.0142152,37.4802402,957049.9983933078,1942444.914082444
연극,구로구,[구로문화재단] 연극 [코다] 2025 구로아트브릿지 선정작,2025-11-29~2025-11-29,오류아트홀,구로문화재단,2025.11.29 0:00,2025.11.29 0:00,126.8460358,37.49535812,942192.1495411412,1944212.1564703216
교육/체험,중구,[서울도서관] 캔바AI로 만나는 우리 가족 디자인 클래스 CLASS,2025-11-29~2025-11-29,서울도서관 4층 사서교육장,서울도서관,2025.11.29 0:00,2025.11.29 0:00,126.9778292,37.56631742,953885.9689686766,1952011.9084252336
클래식,은평구,[구산동도서관마을] 에스윗 색소폰 콰르텟이 들려주는 클래식의 선율 [개관 10주년 축하 공연],2025-11-29~2025-11-29,구산동도서관마을 3층 힐링캠프,기타,2025.11.29 0:00,2025.11.29 0:00,126.9126892,37.61017852,948163.6932215454,1956912.0727058488
교육/체험,노원구,[서울시립 북서울미술관] 《지구 울림 - 헤르츠앤도우》 토크 [전시 연출을 위한 공간 음향 디자인],2025-11-29~2025-11-29,서울시립 북서울미술관 B1 스튜디오3,서울시립미술관,2025.11.29 0:00,2025.11.29 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
기타,금천구,[금천구립시흥도서관] 벌룬매직쇼 [풍선이 풍성풍성],2025-11-29~2025-11-29,금천구립시흥도서관 2층 어린이자료실,금천문화재단,2025.11.29 0:00,2025.11.29 0:00,126.9146119,37.44963195,948222.5301484168,1939099.219607788
콘서트,마포구,2025 난빛음악제,2025-11-29~2025-11-29,에스플렉스센터 다목적공개홀(2층),기타,2025.11.29 0:00,2025.11.29 0:00,126.8899726,37.57572697,946133.8698703096,1953102.5962214032
무용,성동구,[성동문화재단] 제3회 성동 꿈의 무용단 정기공연,2025-11-29~2025-11-29,소월아트홀,성동문화재단,2025.11.29 0:00,2025.11.29 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
콘서트,양천구,[양천문화재단] 2025 월간뮤지크 기리보이X원슈타인 공연,2025-11-29~2025-11-29,양천문화회관 대극장,양천문화재단,2025.11.29 0:00,2025.11.29 0:00,126.86334,37.51652093,943737.6741489952,1946549.5676430904
교육/체험,은평구,"문예북흥 No.48 - 차장섭에게 「한옥의 벽」은 면, 「한옥의 천장」은 선, 「한옥의 담」은 점. 점?선?면의 총아- 한옥이다.",2025-11-29~2025-11-29,이호철북콘서트홀,은평역사한옥박물관,2025.11.29 0:00,2025.11.29 0:00,126.9264997,37.6139965,949385.2123380104,1957328.1270995813
클래식,구로구,[구로문화재단] 구로구립소년소녀합창단 제15회 정기연주회 [행복의 주문],2025-11-29~2025-11-29,구로아트밸리 예술극장,구로문화재단,2025.11.29 0:00,2025.11.29 0:00,126.890315,37.49662515,946107.2063977588,1944326.4518821645
전시/미술,용산구,[국립중앙박물관] 광복 80주년 기념 특별전 우리들의 이순신,2025-11-28~2026-03-03,국립중앙박물관 특별전시실 2,기타,2025.11.28 0:00,2026.3.3 0:00,126.980203,37.52385582,954069.5612424386,1947299.85768815
전시/미술,용산구,[서울시] 2025 아뜰리에 노들 개장전시,2025-11-28~2026-02-28,노들섬 남단 한강대교 하부 미디어파사드,서울시청,2025.11.28 0:00,2026.2.28 0:00,126.9580365,37.51766383,952106.9064976412,1946623.9459556364
국악,중구,국립극장 마당놀이 [홍길동이 온다],2025-11-28~2026-01-31,국립극장,국립극장,2025.11.28 0:00,2026.1.31 0:00,126.9992673,37.55199491,955770.761158916,1950412.595648736
전시/미술,중구,[DDP] TOhealME :COEXISTENCE (향으로 #나를 만나는 시간),2025-11-28~2026-01-31,B the B 다운타운,동대문디자인플라자(DDP),2025.11.28 0:00,2026.1.31 0:00,127.0097797,37.56735732,956708.2068994156,1952112.0812737872
전시/미술,마포구,[마포문화재단] 2025 마포 시시각각 [사진으로 그리는 마포],2025-11-28~2025-12-12,마포아트센터 갤러리맥,마포문화재단,2025.11.28 0:00,2025.12.12 0:00,126.9455338,37.54990609,951023.1291955884,1950207.4899084808
교육/체험,노원구,[노원문화원] 2025 노원지역학 학술포럼,2025-11-28~2025-12-10,B1 다목적홀,노원문화원,2025.11.28 0:00,2025.12.10 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
전시/미술,관악구,"[관악문화재단] 신림동, 1985년 3월 3일 11시 40분",2025-11-28~2025-12-07,관악중앙도서관 4층 서락,관악문화재단,2025.11.28 0:00,2025.12.7 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
교육/체험,영등포구,[서울외국인주민센터] 세계문화체험 [일상 속 세계정거장],2025-11-28~2025-12-05,서울외국인주민센터,서울시청,2025.11.28 0:00,2025.12.5 0:00,126.8974094,37.50473643,946740.0802157632,1945222.3132949544
교육/체험,강북구,[서울문화예술교육센터 강북] 공연 '라이브씨어터' [고래바위에서 기다려],2025-11-28~2025-11-29,서울문화예술교육센터 강북 2층 예술당솔샘,서울문화재단,2025.11.28 0:00,2025.11.29 0:00,127.0177222,37.61955517,957439.3587767116,1957899.564156786
교육/체험,강북구,[서울문화예술교육센터 강북] 우리 곁의 예술-감각하기 [숲으로 예술탐험],2025-11-28~2025-11-29,서울문화예술교육센터 강북 및 주변 야외 공간,서울문화재단,2025.11.28 0:00,2025.11.29 0:00,127.0177222,37.61955517,957439.3587767116,1957899.564156786
기타,종로구,[서울시립 미술아카이브] 2025 연구교류 [번역 너머의 번역],2025-11-28~2025-11-28,서울시립 미술아카이브 나눔동 2층 다목적홀 ,서울시립미술관,2025.11.28 0:00,2025.11.28 0:00,126.9719018,37.60780084,953388.3794929348,1956617.23236168
콘서트,마포구,[마포문화재단] 마포구립실버합창단 제2회 정기연주회 [Adagio 느림예찬],2025-11-28~2025-11-28,마포아트센터 아트홀맥,마포문화재단,2025.11.28 0:00,2025.11.28 0:00,126.9455338,37.54990609,951023.1291955884,1950207.4899084808
클래식,금천구,[금천문화재단] 금천우리동네오케스트라 2025년 정기연주회 [별들의 함성],2025-11-28~2025-11-28,금나래아트홀,금천문화재단,2025.11.28 0:00,2025.11.28 0:00,126.8959725,37.45657851,946578.8037064254,1939880.300341935
클래식,송파구,[서울시립교향악단] 2025 서울시향 얍 판 츠베덴과 이매뉴얼 엑스 ②,2025-11-28~2025-11-28,롯데콘서트홀,서울시립교향악단,2025.11.28 0:00,2025.11.28 0:00,127.1044469,37.51375196,965043.3727478888,1946125.4822905725
교육/체험,용산구,[서울문화예술교육센터 용산] 다정한 아트라운지 [뽑기 드로잉],2025-11-28~2025-11-28,업무동 1층 아트라운지,서울문화재단,2025.11.28 0:00,2025.11.28 0:00,126.9665662,37.52690561,952866.4926482954,1947644.9607602973
교육/체험,마포구,[마포구립서강도서관] 11월 도서관초대석 [수학을 포기한 또는 포기하려는 너에게],2025-11-28~2025-11-28,마포구립서강도서관 3층 세미나실,마포구청,2025.11.28 0:00,2025.11.28 0:00,126.9320618,37.54773473,949831.6609301452,1949973.6924081007
교육/체험,용산구,[서울문화예술교육센터 용산] 다정한 아트라운지 [시들시들 드로잉],2025-11-28~2025-11-28,업무동 1층 아트라운지,서울문화재단,2025.11.28 0:00,2025.11.28 0:00,126.9665662,37.52690561,952866.4926482954,1947644.9607602973
