기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_직장_인구_수,총_상주인구_수,총_유동인구_수,순수_유동인구_수,상권배후지_유형
20253,A,골목상권,3111029,오금역 4번,5881,10408,1665849,1649560,오피스/직장형
20253,A,골목상권,3111028,문현중학교(장지역 1번),3987,14424,2964500,2946089,오피스/직장형
20253,A,골목상권,3111027,문정초등학교,21637,17026,4529344,4490681,오피스/직장형
20253,A,골목상권,3111026,문정역 2번,42049,19915,4534441,4472477,오피스/직장형
20253,A,골목상권,3111025,경찰병원역 3번,9655,16274,3612487,3586558,오피스/직장형
20253,A,골목상권,3111024,경찰병원역 4번(건너말공원),15990,7409,3576762,3553363,오피스/직장형
20253,A,골목상권,3111023,문정역 1번,26775,10168,3077573,3040630,오피스/직장형
20253,A,골목상권,3111022,석촌중학교(방이육교),10088,17940,4068451,4040423,오피스/직장형
20253,A,골목상권,3111021,방이역 4번,8300,24241,5516172,5483631,주거지/동네형
20253,A,골목상권,3111020,방이동고분군(방산고등학교),549,8937,1261899,1252413,주거지/동네형
20253,A,골목상권,3111019,한성백제역 3번,14930,19741,3417336,3382665,오피스/직장형
20253,A,골목상권,3111018,풍납초등학교(풍납백제문화공원),156,8630,2265567,2256781,주거지/동네형
20253,A,골목상권,3111017,송파나루역 3번,4249,10794,1865441,1850398,오피스/직장형
20253,A,골목상권,3111016,송파역 2번,4868,13624,2299556,2281064,오피스/직장형
20253,A,골목상권,3111015,석촌역 3번,9817,25728,5578108,5542563,주거지/동네형
20253,A,골목상권,3111014,송파나루역 2번,15881,11164,3810870,3783825,오피스/직장형
20253,A,골목상권,3111013,송파나루역 1번(송리단길),19249,14992,5541032,5506791,오피스/직장형
20253,A,골목상권,3111012,석촌역 6번,4306,16908,3933061,3911847,오피스/직장형
20253,A,골목상권,3111011,잠실나루역,4438,9443,986440,972559,오피스/직장형
20253,A,골목상권,3111010,석촌역 7번,9972,19603,5562523,5532948,오피스/직장형
20253,A,골목상권,3111009,송파책박물관,985,10726,1299389,1287678,주거지/동네형
20253,A,골목상권,3111008,석촌고분역 3번,3598,18311,3274234,3252325,주거지/동네형
20253,A,골목상권,3111007,석촌고분역 4번,3148,16991,2819209,2799070,주거지/동네형
20253,A,골목상권,3111006,석촌고분역 1번,4888,24185,5859319,5830246,주거지/동네형
20253,A,골목상권,3111005,삼전역 3번,3073,19692,4159721,4136956,주거지/동네형
20253,A,골목상권,3111004,삼전역 1번,8820,32337,8233603,8192446,주거지/동네형
20253,A,골목상권,3111003,삼전역 4번,4767,23249,4323344,4295328,주거지/동네형
20253,A,골목상권,3111002,한국교통안전공단 강남자동차검사소,102,1,7415,7312,오피스/직장형
20253,A,골목상권,3111001,아래방죽마을공원(율현초등학교),92,7460,365819,358267,주거지/동네형
20253,A,골목상권,3111000,대왕초등학교(세곡동사거리서남측),19,1998,166351,164334,주거지/동네형
20253,A,골목상권,3110999,윗방죽마을공원,213,10786,902201,891202,주거지/동네형
20253,A,골목상권,3110998,은곡마을(은곡마을공원),101,7748,1164904,1157055,주거지/동네형
20253,A,골목상권,3110997,대청초등학교,1822,14643,3028027,3011562,주거지/동네형
20253,A,골목상권,3110996,대치2동주민센터,16606,13151,4268553,4238796,오피스/직장형
20253,A,골목상권,3110995,봉은사역 4번,22329,7997,2036630,2006304,오피스/직장형
20253,A,골목상권,3110994,개포고등학교,3211,4555,1287050,1279284,오피스/직장형
20253,A,골목상권,3110993,개포지하차도 북측,3433,1573,270436,265430,오피스/직장형
20253,A,골목상권,3110992,도곡초등학교,23841,17552,7555560,7514167,오피스/직장형
20253,A,골목상권,3110991,삼성중앙역 5번,67063,1939,1367841,1298839,오피스/직장형
20253,A,골목상권,3110990,청담역 12번,10422,2346,510963,498195,오피스/직장형
20253,A,골목상권,3110989,대치동아우편취급국,20071,10474,5928947,5898402,오피스/직장형
