기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(분),전국 평균체류시간(분)
202501,동대문구,4008798.0,2.93,927.0,1070.0
202502,동대문구,3961471.0,3.16,1044.0,1014.0
202503,동대문구,5139787.0,3.27,1478.0,1280.0
202504,동대문구,4162129.0,2.96,791.0,856.0
202505,동대문구,4741741.0,3.11,1127.0,1178.0
202506,동대문구,4377507.0,3.02,883.0,908.0
202507,동대문구,4340869.0,3.1,1040.0,1050.0
202508,동대문구,4290722.0,3.05,1042.0,986.0
202509,동대문구,4864175.0,3.17,1166.0,1038.0
202510,동대문구,4480985.0,3.01,945.0,1000.0
202511,동대문구,4659817.0,3.02,854.0,874.0
202512,동대문구,4496841.0,3.05,1029.0,980.0
202501,동작구,4436930.0,3.0,962.0,1070.0
202502,동작구,4277054.0,3.11,925.0,1014.0
202503,동작구,5453784.0,3.23,1299.0,1280.0
202504,동작구,4744848.0,2.98,734.0,856.0
202505,동작구,5490942.0,3.21,1092.0,1178.0
202506,동작구,5146331.0,3.05,776.0,908.0
202507,동작구,4959042.0,3.15,968.0,1050.0
202508,동작구,4896214.0,3.08,924.0,986.0
202509,동작구,5911729.0,3.17,940.0,1038.0
202510,동작구,5522070.0,3.07,871.0,1000.0
202511,동작구,5816880.0,3.01,723.0,874.0
202512,동작구,5821926.0,2.98,770.0,980.0
202501,마포구,8423363.0,2.63,599.0,1070.0
202502,마포구,8440690.0,2.69,581.0,1014.0
202503,마포구,9962052.0,2.78,707.0,1280.0
202504,마포구,9042113.0,2.64,463.0,856.0
202505,마포구,10358746.0,2.77,665.0,1178.0
202506,마포구,9565347.0,2.69,532.0,908.0
202507,마포구,9840906.0,2.72,606.0,1050.0
202508,마포구,9791158.0,2.66,562.0,986.0
202509,마포구,10315749.0,2.75,576.0,1038.0
202510,마포구,9915875.0,2.7,533.0,1000.0
202511,마포구,10372501.0,2.69,492.0,874.0
202512,마포구,10059472.0,2.62,530.0,980.0
202501,서대문구,6090539.0,2.8,737.0,1070.0
202502,서대문구,6211016.0,2.9,721.0,1014.0
202503,서대문구,7584716.0,3.09,1083.0,1280.0
202504,서대문구,6401506.0,2.84,605.0,856.0
202505,서대문구,7239742.0,2.95,828.0,1178.0
202506,서대문구,6894501.0,2.88,650.0,908.0
202507,서대문구,7146686.0,2.93,740.0,1050.0
202508,서대문구,6795083.0,2.89,736.0,986.0
202509,서대문구,7727522.0,3.01,849.0,1038.0
202510,서대문구,6691363.0,2.92,706.0,1000.0
202511,서대문구,7446396.0,2.89,645.0,874.0
202512,서대문구,7442911.0,2.86,673.0,980.0
202501,서초구,13446844.0,2.82,451.0,1070.0
202502,서초구,13614477.0,2.9,435.0,1014.0
202503,서초구,15118030.0,2.92,484.0,1280.0
202504,서초구,14630475.0,2.85,370.0,856.0
202505,서초구,15772964.0,3.03,521.0,1178.0
202506,서초구,15217341.0,2.91,407.0,908.0
202507,서초구,16123328.0,3.01,476.0,1050.0
202508,서초구,15371579.0,2.92,442.0,986.0
202509,서초구,16085401.0,2.93,416.0,1038.0
202510,서초구,14932193.0,2.91,414.0,1000.0
202511,서초구,16779263.0,2.89,394.0,874.0
202512,서초구,16717235.0,2.87,410.0,980.0
202501,성동구,4805074.0,2.86,757.0,1070.0
202502,성동구,5040956.0,2.97,722.0,1014.0
202503,성동구,6285728.0,3.03,906.0,1280.0
