,순번,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
2768,73935,202505,9호선,증미,0,0,2683,555,8586,3067,23233,11204,24892,45665,13449,17933,9972,6484,9757,6173,9888,6616,9881,7112,8525,7926,8681,8746,10043,9853,21104,13499,35662,20373,10365,15414,5886,9379,4976,8538,2668,8553,1111,4680,221,1623,0,0,0,0,0,0,20250603
2769,73936,202505,9호선,등촌,15,4,6378,1258,16555,5536,50030,8285,59310,19764,28328,13068,20108,11759,21085,12320,19947,14696,18739,15998,16895,17001,18257,20373,18984,22540,18532,33299,19273,47763,10827,36772,8181,21536,6778,19693,5127,16799,2413,9914,438,3113,0,0,0,0,0,0,20250603
2770,73937,202505,9호선,염창,7,0,13786,849,29297,5483,78666,8973,85409,19058,49350,12532,32409,11326,28405,12924,29100,15475,25334,18174,21422,20707,21528,26616,22679,32045,24331,50346,23959,71854,13787,59770,10995,39468,9697,35097,7003,35758,2911,20871,446,6766,2,392,0,0,0,0,20250603
2771,73938,202505,9호선,신목동,4,0,2559,410,6846,2589,21890,3902,20317,6983,10866,5130,8295,3327,7007,3387,7216,4638,6716,5299,5354,5180,6075,6601,6880,8381,7939,9973,7007,15949,3733,11732,2516,7530,2049,7464,1897,6057,646,4396,160,1279,0,111,0,0,0,0,20250603
2772,73939,202505,9호선,선유도,2,0,2317,1417,6864,4283,23428,14520,28069,38856,13898,20373,10473,8911,10377,8960,11105,9994,11474,9439,11318,10001,11810,11037,15543,11532,27019,14535,35579,23132,14061,16237,8614,10464,7052,8647,5027,8716,1952,4795,352,1544,0,15,0,0,0,0,20250603
2773,73940,202505,9호선,당산,96,0,9265,1629,17977,7788,51667,16785,61149,44444,37620,27092,28733,17488,27818,19585,30628,20667,28230,24330,26505,23089,27592,27747,30623,33251,39864,46172,48588,65467,27230,47348,21888,33634,20513,33436,16710,30746,8346,20168,1605,5606,2,280,0,0,0,0,20250603
2774,73941,202505,9호선,국회의사당,6,0,884,1798,2372,12433,5472,50541,8465,159788,8229,62662,11576,34065,16148,25971,19557,22432,24098,25685,28840,21508,31185,16642,42055,15400,77606,17646,103822,14720,40320,8621,29389,6043,25679,5420,14981,4498,5111,2705,981,929,0,0,0,0,0,0,20250603
2775,73942,202505,9호선,여의도,13,1,3170,2832,4615,29022,9501,151706,12094,166511,13158,79085,17535,38736,26113,38650,27546,39179,34200,39413,38381,34556,48361,31235,64837,32614,158375,32756,154050,34121,75369,19542,65736,11634,47849,9671,26636,8709,8704,4747,1354,1980,1,313,1,1,0,0,20250603
2776,73943,202505,9호선,샛강,9,0,1659,1245,2562,4661,5480,17351,7076,36385,5812,14073,5947,9178,7000,9100,8138,7737,8981,8482,9611,7740,10839,7327,12842,8586,22394,11142,30420,13993,12766,8309,10951,4620,10022,4213,8088,3790,3865,2403,827,814,0,19,0,0,0,0,20250603
2777,73944,202505,9호선,노량진,492,12,18256,2095,27367,13156,67446,38693,91504,62312,53518,45715,37225,28671,35917,32021,41139,37152,43352,40450,37303,36955,37976,39525,44762,46033,57108,67663,55588,93219,34657,60886,35031,46352,40723,44264,39487,44490,12747,24964,1667,7210,0,0,0,0,0,0,20250603
2778,73945,202505,9호선,노들,5,1,4226,407,6831,1585,18185,2602,22407,5536,13285,6276,9466,4640,8244,5220,8840,6629,7968,7919,7404,10198,7520,10409,8589,12037,9283,14623,9335,18576,8165,12631,9887,8928,5813,7738,3679,7283,1392,3959,274,1375,0,1,0,0,0,0,20250603
2779,73946,202505,9호선,흑석(중앙대입구),7,0,4208,1066,6976,5678,19407,13215,23284,29490,16257,17954,14268,19194,14846,15960,16823,16231,16811,15536,17890,16497,20479,15670,23210,17093,28648,25703,22646,30645,13563,21167,13082,14567,13317,12452,11670,12438,5741,7068,1305,2682,0,30,0,0,0,0,20250603
2780,73947,202505,9호선,동작(현충원),47,1,1030,250,1681,2499,4528,1844,5382,5208,3697,4460,3877,4254,5120,3431,5427,3151,4668,3773,4563,3293,4857,3175,5539,2988,4749,3405,4182,4767,2116,3099,1848,2291,1529,2093,1318,2010,614,1318,80,1324,1,212,0,0,0,0,20250603
2781,73948,202505,9호선,구반포,14,0,275,2748,777,18156,1632,3110,2019,4008,1565,3055,1481,1748,1665,1473,1759,1686,1845,1956,2082,1649,3297,1584,14104,1632,11533,1866,5202,2110,2488,1258,1434,924,1167,725,798,739,252,383,64,208,4,5,0,0,0,0,20250603
2782,73949,202505,9호선,신반포,2,0,959,760,3024,7475,10567,9715,13762,11335,8499,8468,7000,7231,6336,6326,6893,6573,8268,8203,7974,7850,9955,8095,13429,8529,13451,10587,12004,13222,7455,9523,6334,5893,7311,4641,4476,5422,1070,2635,241,872,0,1,0,0,0,0,20250603
2783,73950,202505,9호선,고속터미널,29,1,2750,1712,6995,16580,19764,21808,27625,32713,22735,36788,22132,41727,23682,44531,27973,46617,29494,46889,33364,51534,38202,51975,42383,55602,43526,60579,43072,65198,36832,41690,37265,30959,35380,25491,25440,24181,9290,11316,1162,2533,0,4,0,0,0,0,20250603
2784,73951,202505,9호선,사평,3,0,1163,312,3942,2290,11804,5932,15886,8533,9532,4571,7467,4056,6424,3906,7578,5174,6889,6982,6435,6400,7412,8192,8868,8220,9274,10409,9013,12520,5384,9245,3734,6859,2590,6292,2206,6438,767,3217,201,892,0,0,0,0,0,0,20250603
2785,73952,202505,9호선,신논현,82,0,4513,1684,13548,16322,30519,39330,39529,84926,32647,101828,30248,60625,36134,45626,42151,47455,46210,49378,48694,49000,54922,48872,66506,55438,84922,74355,105352,92001,78481,56417,61005,36720,64970,29775,55228,25371,26684,16064,4694,3756,1,666,0,0,0,0,20250603
2786,73953,202505,9호선2~3단계,언주,2,0,1574,1165,3186,8021,7342,24135,10628,67031,10059,51182,10835,21789,12327,14095,14058,12138,14985,15436,16742,13585,18723,11808,24288,12744,42771,14136,57286,15411,28195,10475,16600,7359,12974,7848,9668,5807,3336,3774,637,1229,0,71,0,0,0,0,20250603
2787,73954,202505,9호선2~3단계,선정릉,7,0,1096,1071,4365,6898,8731,21007,10978,58399,9632,48889,8358,21562,9214,14207,11609,13484,12501,14662,13921,12819,14941,11858,18924,11889,33375,14831,52702,15966,28961,11446,16020,8150,13677,8124,10230,7113,3814,4567,741,1303,0,14,0,0,0,0,20250603
2788,73955,202505,9호선2~3단계,삼성중앙,3,0,1126,519,3158,4960,6333,18256,8618,45741,6944,32941,6614,12329,7606,8778,8801,8516,9626,8777,9617,8372,11266,7869,15758,8954,25975,12220,42130,13249,18669,8992,11782,5981,10093,4778,6881,4833,2632,2792,623,1049,0,1,0,0,0,0,20250603
