,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
11121,100100269,5537,17,117000125,18211,벽산디지털밸리,126.885145,37.476226
11122,100100576,6516,17,118000214,19305,문래역.문래자이아파트,126.8945855945,37.5166249423
11123,100100289,6211,17,118000227,19318,문래역1번출구,126.8942560751,37.5166312538
11124,100100080,505,17,213000006,38193,가리대사거리.소하상업지구,126.8826751152,37.4485615647
11125,116900008,영등포01,17,118900117,19835,대림포교원,126.9032197838,37.4924371503
11126,109900005,도봉09,17,109900061,10592,대우.삼성서비스센터,127.047119,37.683131
11127,100100438,3011,17,122000295,23402,수서역2번출구,127.1007452609,37.4883076816
11128,100100525,8772,17,111000145,12234,북한산성입구,126.9453412916,37.6581874095
11129,117900006,금천02,17,117900054,18595,금천육교앞,126.8915243807,37.4554158552
11130,112900009,서대문05,17,112900186,13922,신촌기차역,126.942636,37.558729
11131,112900007,서대문06,17,112900011,13846,종근당후문,126.9637436891,37.5594697141
11132,100100303,6625,17,114000091,15194,양천구청,126.86703,37.516543
11133,112900014,서대문02대,17,112900160,13941,영천동,126.9605988267,37.5701370515
11134,107000004,8003,17,100900098,1795,평창동산림제3초소,126.977104,37.617356
11135,100100320,6647,17,115000229,16326,제과점앞,126.809942,37.56021
11136,100100613,3322,17,123000281,24372,신가초등학교,127.120215,37.498817
11137,100100448,7013B,17,113000159,14250,망원시장.망원동월드컵시장입구,126.908759,37.557338
11138,100100449,7013A,17,113000159,14250,망원시장.망원동월드컵시장입구,126.908759,37.557338
11139,124000014,6007,17,118000465,19821,경방타임스퀘어.신세계백화점,126.90598,37.517327
11140,100100261,5525,17,120000102,21204,신림청소년독서실.신림체육센터,126.914797,37.480922
11141,100100383,8541,17,120000022,21121,서울대입구역1번출구.샤로수길,126.9545837877,37.4803684653
11142,100100341,7022,17,111000160,12250,독박골.북한산래미안APT앞,126.9397954573,37.610512964
11143,100100342,7024,17,112000230,13313,봉원사길,126.946017179,37.5683540231
11144,117000002,N51,17,116000019,17105,한국SGI,126.889783,37.502477
11145,100100290,6411,17,116000024,17110,영림중학교,126.891622,37.496915
11146,100100278,5621,17,117000277,18741,한울중학교,126.907302,37.462522
11147,100100553,350,17,122000146,23249,휘문중고등학교,127.0614966158,37.5040741974
11148,100100286,5712,17,114000127,15230,계남초등학교,126.858427,37.509753
11149,100100043,261,17,107000119,8209,돌곶이역7번출구,127.0575578503,37.6102045872
11150,100100077,501,17,102000248,3341,노들섬,126.959037665,37.5173638437
11151,100100079,504,17,117000026,18112,디지털3단지사거리,126.8813405986,37.4757765035
11152,100100266,5634,17,118000211,19299,미보빌딩,126.916713,37.498418
11153,100100178,1221,17,110000017,11117,태릉입구역7번출구.서울생활사박물관,127.076678,37.617859
11154,100100268,5536,17,120000001,21001,구로디지털단지역,126.9024471276,37.4839345974
11155,100100499,7212,17,111000089,12177,신흥시장,126.9148958447,37.5954017296
11156,103900009,성동12,17,103000507,4167,옥수파크힐스아파트앞,127.013019,37.547018
11157,100100212,3212,17,124000093,25194,명일여자고등학교,127.149073,37.548425
11158,100100364,7738,17,112000143,13226,홍남교.서대문구행복그린센터,126.9269827008,37.5746380958
11159,100100318,6645,17,115000262,16367,강서구민올림픽체육센터,126.850322,37.559795
11160,121900008,서초02,17,121000058,22134,교대역10번출구,127.012781,37.493554
11161,121900010,서초14,17,121900241,22594,경원중학교,127.0068991175,37.5114970568
11162,100100295,5611,17,118000332,19424,성락빌딩,126.89948,37.500908
11163,100100410,502,17,226000192,60008,서해그랑블,126.9731235347,37.3501862579
11164,100100070,441,17,226000192,60008,서해그랑블,126.9731235347,37.3501862579
11165,114900005,영등포13,17,118000480,19847,신풍프라자,126.9015122861,37.5017864827
11166,113900007,마포13,17,113900249,14979,신촌역,126.9359751517,37.5546992456
11167,100100148,1132,17,110000058,11158,예수사랑교회,127.0871773715,37.6223048363
11168,100100450,7011,17,113000173,14264,성산초등학교,126.9100992042,37.553593858
11169,100100462,7715,17,111000245,12335,숭실고입구,126.906391,37.591947
11170,100100453,6613,17,116000157,17251,동양빌라,126.8315970998,37.4951898369
11171,118900003,영등포06,17,118900210,19892,영등포역1번출구,126.907997,37.514679
11172,113000006,마포순환열차버스,17,113000517,14636,망원&월드컵시장(망리단길),126.90592,37.557656
11173,100100026,147,17,105000566,6120,래미안라그란데아파트,127.06193,37.600355
11174,106000007,8333,17,124000506,25307,고덕산생태육교,127.146161,37.560545
11175,115000014,6611,17,115000940,16102,서울식물원.식물문화센터,126.8349619166,37.5683883474
11176,100000025,동대문A01,17,105000135,6221,동대문구답십리도서관앞,127.051028,37.57388
11177,123000002,6600,17,161020569,92608,영종IC(가상),126.5073455975,37.4747380773
11178,122000011,6104,17,117000934,92691,광명IC(가상),126.8455937505,37.4401039607
11179,123000014,6500,17,117000934,92691,광명IC(가상),126.8455937505,37.4401039607
11180,103900002,성동08,17,103000015,4113,상왕십리역,127.030223,37.56493
11181,103900014,성동15,17,103900142,4502,대우아파트관리실,127.019985,37.546215
11182,100100153,1138,17,109000159,10245,도봉문화정보도서관,127.0440281367,37.6442125083
11183,100100538,6018,17,115000125,16222,서울호서전문학교.등촌주공3단지아파트,126.839755,37.562662
11184,115000009,N6002,17,161010559,92646,GS주유소(가상),126.4762125849,37.4411393093
11185,107000008,422,17,206000200,47068,성남역,127.1216459533,37.3945385547
11186,104000013,3324,17,124000473,25209,암사역사공원역3번출구,127.137212,37.55711
11187,120900012,관악02-2,17,120000168,21270,법대.사회대입구,126.948992,37.462798
11188,100100051,301,17,123000007,24007,송파역,127.1118384337,37.5002084826
11189,113000002,452,17,204000005,48016,성남우체국,127.150506914,37.4421338847
11190,100100184,1227,17,106000005,7005,중랑역.동부시장,127.0760312329,37.5940083437
11191,100100047,271,17,105000011,6011,삼육서울병원,127.060685,37.589692
11192,100100175,1213,17,105000478,6021,청량리미주아파트.동대문세무서,127.048395,37.58278
11193,100100249,5413,17,117000112,18198,관악구보훈회관.신림푸르지오,126.90914,37.48064
11194,100100564,320,17,104000059,5152,구의2동주민센터입구,127.08958588,37.5486416815
11195,100100096,643,17,120000017,21116,남서울중학교.성보중고등학교,126.921012,37.482817
11196,100100601,6640A,17,118000081,19166,영등포교보생명,126.8920699266,37.5217213888
11197,100100211,2415,17,122000071,23173,진흥아파트,127.0520898501,37.5192911033
11198,100100075,472,17,122000078,23181,일지아트홀.압구정노인복지관,127.0396345679,37.5243159636
11199,100100052,302,17,205000144,49012,성호시장,127.1442625829,37.4377160939
11200,100100308,6631,17,115000179,16276,서남물재생센터,126.827155,37.572769
11201,100100316,6642,17,115000174,16271,겸재정선미술관.서울식물원,126.838568,37.569779
11202,100100495,672,17,115000174,16271,겸재정선미술관.서울식물원,126.838568,37.569779
11203,111900007,은평06,17,111000098,12186,종로약국,126.9246380909,37.6203765441
11204,105900004,성북20,17,107000172,8267,돈암2동주민센터입구.흥천사,127.015117,37.596722
11205,100100609,4425,17,204000099,48024,통계청.태평역,127.1298270877,37.4404329956
11206,100100053,303,17,204000099,48024,통계청.태평역,127.1298270877,37.4404329956
11207,100100039,202,17,110000056,11156,담터고개,127.1112874447,37.6408369424
11208,110000009,2155,17,110000049,11149,태릉,127.098258,37.63046
11209,111000029,8775퇴근,17,113000011,14101,마포구청.성산자동차검사소,126.9024231067,37.5649538546
11210,113000007,8775출근,17,113000011,14101,마포구청.성산자동차검사소,126.9024231067,37.5649538546
11211,112000005,7716,17,113000157,14248,기업은행서교동지점(최규하대통령가옥),126.9114638988,37.5547915422
11212,100100190,2015,17,106000149,7244,면목두산아파트2차,127.0848478468,37.5811079401
11213,114000002,8641,17,118000180,19265,대동초등학교.명지성모병원,126.899241,37.494301
11214,100100347,7613,17,111000079,12167,응암역.신사오거리,126.9152247795,37.5979358249
11215,100100425,1122,17,106000173,7268,중랑구청,127.0936349035,37.6062056111
11216,100100513,6100,17,129000034,92620,자유로IC(가상),126.8021285088,37.6217575452
11217,100100094,641,17,119000023,20111,KT동작지사,126.9356600816,37.5130395413
11218,119900016,동작17,17,119900075,20511,이수역,126.9806261973,37.4850014413
11219,100100287,5713,17,208000041,57048,관악역,126.9103632666,37.4196002753
11220,100100281,5625,17,208000041,57048,관악역,126.9103632666,37.4196002753
11221,100100277,5620,17,119000001,20001,동작상떼빌아파트,126.904448,37.486449
11222,103900011,성동03-1,17,103900201,4832,왕십리도선동주민센터,127.0259157424,37.5677084261
11223,100100293,6713,17,118000149,19234,성락교회,126.902587,37.504583
11224,105900005,성북21,17,107900165,8808,범양APT입구,127.0272103996,37.6039526599
11225,100100389,9401,17,206000319,47054,효자촌,127.1335237202,37.3773347383
11226,100100392,9408,17,206000319,47054,효자촌,127.1335237202,37.3773347383
11227,120900007,관악08,17,120900103,21753,성지빌딩,126.9308321576,37.4786119699
11228,111000019,2236,17,106000183,7278,신내9단지아파트,127.0959906996,37.6105694794
11229,100100595,241,17,106000183,7278,신내9단지아파트,127.0959906996,37.6105694794
11230,100100591,N30,17,124000129,25240,길동역1번출구,127.1399400757,37.5379724338
11231,122000006,N6703,17,119000298,20964,동작대교남단(가상),126.973585394,37.505723652
11232,100100572,6703,17,119000298,20964,동작대교남단(가상),126.973585394,37.505723652
11233,122900006,강남02,17,122900051,23731,영동2교,127.043651,37.482774
11234,115900002,강서06,17,115000054,16150,화곡푸르지오,126.8344789776,37.5401506396
11235,100100407,240,17,106000214,7309,상봉터미널,127.092859113,37.5962266864
11236,100100199,2222,17,104000157,5250,광진광장,127.07154,37.548002
