,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,지하철역코드,지하철역명,리프트,엘리베이터
2746,LINK,,0,,"LINESTRING(126.91874950190639 37.63605287360364,126.91887450534965 37.636057083766886,126.91884771706118 37.636438672353805)",174341,1000.0,142881.0,213544.0,53.462,1138000000,은평구,1138011400,진관동,254,구파발,0,0
2747,NODE,POINT(126.92093262739026 37.61963265455732),214971,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,257,연신내,0,0
2748,NODE,POINT(126.93003326157286 37.61036449137324),214972,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2749,NODE,POINT(126.93101041260398 37.60924471183044),214973,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2750,NODE,POINT(126.9024010825811 37.5773468201649),212121,1.0,,0,,,,,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,1
2751,NODE,POINT(126.91899211696432 37.63702699636522),213287,1.0,,0,,,,,1138000000,은평구,1138011400,진관동,254,구파발,0,1
2752,NODE,POINT(126.93127172453387 37.609185001739604),159373,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,255,불광,0,0
2753,NODE,POINT(126.93544141197621 37.60074767575487),159662,1.0,,0,,,,,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2754,NODE,POINT(126.92932129927088 37.61084588979544),214980,0.0,,0,,,,,1138000000,은평구,1138010600,대조동,255,불광,0,0
2755,NODE,POINT(126.93528868261603 37.60140902751558),159175,1.0,,0,,,,,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2756,NODE,POINT(126.93293827161446 37.61841275855467),213288,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,262,독바위,0,0
2757,NODE,POINT(126.93304827606111 37.61843884073186),213289,0.0,,0,,,,,1138000000,은평구,1138010300,불광동,262,독바위,0,0
2758,NODE,POINT(126.920386286899 37.619692380452946),213290,1.0,,0,,,,,1138000000,은평구,1138010400,갈현동,257,연신내,0,0
2759,NODE,POINT(126.90236379731351 37.57786778277562),152392,1.0,,0,,,,,1138000000,은평구,1138011000,증산동,136,디지털미디어시티,0,0
