기준년월,자치구,현지인방문자수,외지인방문자수,외국인방문자수
202505,서초구,10739508.0,16509244.0,380108.0
202505,성동구,5517992.0,7032288.0,356672.0
202505,성북구,7661902.0,5083376.0,94243.0
202505,송파구,13478832.0,12189342.0,258765.0
202505,양천구,5429812.0,3795939.0,45409.0
202505,영등포구,8641560.0,10714823.0,361319.0
202505,용산구,4993594.0,10626242.0,783676.0
202505,은평구,5387498.0,3471300.0,63638.0
202505,종로구,4952164.0,13493770.0,1006631.0
202505,중구,4533904.0,13128724.0,1918948.0
202505,중랑구,5563894.0,3686428.0,32442.0
202506,강남구,16601424.0,18896423.0,812069.0
202506,강동구,8804439.0,4822139.0,54991.0
202506,강북구,4313292.0,2873528.0,34260.0
202506,강서구,8822958.0,7833140.0,392222.0
202506,관악구,7380296.0,5559624.0,84379.0
202506,광진구,6508131.0,6153886.0,118404.0
202506,구로구,6083284.0,5889254.0,113544.0
202506,금천구,2766894.0,2500844.0,59614.0
202506,노원구,9182820.0,4961008.0,36546.0
202506,도봉구,4256354.0,2865642.0,20331.0
202506,동대문구,5637996.0,4832698.0,120151.0
202506,동작구,5519444.0,5577212.0,90858.0
202506,마포구,7682913.0,10202276.0,894797.0
202506,서대문구,5111054.0,7430010.0,284390.0
202506,서초구,10819319.0,15808706.0,385835.0
202506,성동구,5352694.0,6516895.0,349140.0
202506,성북구,7712456.0,4620494.0,83706.0
202506,송파구,13408101.0,11057932.0,271330.0
202506,양천구,5403976.0,3452295.0,48011.0
202506,영등포구,8541810.0,9959708.0,357667.0
202506,용산구,4871100.0,9952582.0,784084.0
202506,은평구,5393122.0,3094494.0,62581.0
202506,종로구,4913797.0,12478900.0,967765.0
202506,중구,4579396.0,12489698.0,1909719.0
202506,중랑구,5596829.0,3080410.0,29931.0
202507,강남구,17642870.0,20744602.0,866918.0
202507,강동구,9161033.0,4987174.0,67881.0
202507,강북구,4567706.0,3109810.0,35752.0
202507,강서구,9402264.0,8323616.0,469535.0
202507,관악구,7738910.0,5917776.0,96062.0
202507,광진구,6842633.0,6221509.0,133247.0
202507,구로구,6363746.0,5923984.0,143464.0
202507,금천구,2996686.0,2671130.0,70750.0
202507,노원구,9536208.0,5094246.0,42950.0
