,상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84)
126,장가구 ,은평구,서울 은평구 연서로4길 19 (역촌동),126.918148141435,37.602732419623
127,경복궁,종로구,"서울 종로구 사직로 161 (세종로, 경복궁)",126.976842133821,37.5759040910202
128,경은상사,종로구,서울 종로구 삼일대로 428 낙원상가 2층 B-282호,126.987902476529,37.5727635233966
129,카이스갤러리,강남구,서울 강남구 언주로174길 13 (신사동) 1층,127.03502369684,37.5284646981472
130,황해이발관,강북구,서울 강북구 솔매로 35-1 (미아동),127.016344995404,37.6255551346873
131,경희궁,종로구,서울 종로구 새문안로 45 (경희궁),126.96798487452,37.5717690679936
132,뮤지엄김치간,종로구,서울 종로구 인사동길 35-4 (관훈동),126.984865059281,37.5735538862116
133,DDP 관광안내소,중구,"서울 중구 을지로 281 (을지로7가, 디자인장터) 지하 2층 종합안내소",127.010890355484,37.5680445876689
134,인천국제공항 제 1터미널 서울관광정보센터 (동편),중구,인천광역시 중구 공항로 272 (운서동) 인천국제공항 제1여객터미널 1층 입국장 5번출구,126.427699293474,37.458350712273
135,돈의문 박물관 마을,종로구,"서울 종로구 송월길 14-3 (신문로2가, 국도빌딩)",126.968525728353,37.5688253913595
136,용산공예관,용산구,"서울 용산구 이태원로 274 (한남동, 용산공예관)",127.002075483615,37.5390272618407
137,자성당약국,강서구,서울 강서구 방화대로21길 76 (공항동),126.812508487077,37.5639888663415
138,고려삼계탕,중구,서울 중구 서소문로11길 1 (서소문동),126.972911826174,37.562998746872
139,손맛김밥,종로구,서울 종로구 자하문로15길 18,126.969947621917,37.5807670044059
140,고터?세빛 관광안내소,서초구,서울 서초구 반포대로 333 공공보행통로 내(G2출구~반포한강공원),126.995904034712,37.5077735030051
141,순희네 반찬,종로구,서울 종로구 창경궁로 88 1층 광장시장 65-1,126.999798964693,37.5701196320637
142,송림수제화,중구,서울특별시 중구 수표로 60-1 (을지로3가 5-10)3~4층,126.989842197531,37.5665858506287
143,진고개 동대문점,종로구,서울 종로구 종로 301-1 (창신동),127.011161843143,37.5721873391473
144,석교식당 ,서대문구,서울 서대문구 통일로 185 (영천동),126.962281820841,37.5700187320924
145,공근혜갤러리,종로구,서울 종로구 삼청로7길 38 (삼청동),126.97967490139,37.5840268022577
146,KCDF갤러리,종로구,"서울 종로구 인사동11길 8 (관훈동, 공예종합유통지원센터)",126.984128478814,37.5740079809751
147,THEO 띠오,강남구,"서울 강남구 봉은사로68길 55-3 (삼성동, BANG2011) 지하 1층",127.052810669685,37.5091052569619
148,쌍마스튜디오,영등포구,"서울 영등포구 여의나루로 81 (여의도동, 한마루빌딩)",126.927731741938,37.5243213718368
149,갤러리 현대,종로구,"서울 종로구 삼청로 14 (사간동, 현대갤러리)",126.979832722889,37.5773204623898
150,경희대학교 서울캠퍼스,동대문구,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",127.054890960564,37.5939491407769
151,성균관대학교,종로구,"서울 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",126.993115116294,37.5872284082508
